Date,Open,High,Low,Close,Adj Close,Volume,,
1/2/2014,183.979996,184.070007,182.479996,182.919998,167.384567,119636900,,
1/3/2014,183.229996,183.600006,182.630005,182.889999,167.357147,81390600,,-0.000163814
1/6/2014,183.490005,183.559998,182.080002,182.360001,166.872147,108028200,,-0.002897994
1/7/2014,183.089996,183.789993,182.949997,183.479996,167.897003,86144200,,0.006141564
1/8/2014,183.449997,183.830002,182.889999,183.520004,167.933685,96582300,,0.000218479
1/9/2014,184.110001,184.130005,182.800003,183.639999,168.043472,90683400,,0.000653752
1/10/2014,183.949997,184.220001,183.009995,184.139999,168.501007,102026400,,0.002722718
1/13/2014,183.669998,184.179993,181.339996,181.690002,166.259018,149892000,,-0.013305493
1/14/2014,182.289993,183.770004,181.949997,183.669998,168.070877,105016100,,0.010897809
1/15/2014,184.100006,184.940002,183.710007,184.660004,168.976868,98525800,,0.005390529
1/16/2014,184.279999,184.660004,183.830002,184.419998,168.757202,72290600,,-0.001299977
1/17/2014,184.100006,184.449997,183.320007,183.639999,168.043472,107848700,,-0.004229331
1/21/2014,184.699997,184.770004,183.050003,184.179993,168.537567,88621200,,0.002940281
1/22/2014,184.490005,184.570007,183.910004,184.300003,168.647385,61270900,,0.000651594
1/23/2014,183.369995,183.399994,181.820007,182.789993,167.26561,132496900,,-0.008193279
1/24/2014,181.600006,181.660004,178.830002,178.889999,163.696854,208677100,,-0.021335862
1/27/2014,179.059998,179.520004,177.119995,178.009995,162.891632,180843100,,-0.004918983
1/28/2014,178.139999,179.300003,178.119995,179.070007,163.861557,110463200,,0.005954419
1/29/2014,177.580002,178.550003,176.880005,177.350006,162.287643,216597300,,-0.009605145
1/30/2014,178.830002,179.809998,178.259995,179.229996,164.00798,118938100,,0.010600542
1/31/2014,177.009995,179.289993,176.919998,178.179993,163.04715,194677900,,-0.005858434
2/3/2014,177.970001,178.369995,173.830002,174.169998,159.377716,254837100,,-0.022505355
2/4/2014,174.949997,175.839996,174.110001,175.389999,160.49411,165012400,,0.007004706
2/5/2014,174.779999,175.559998,173.710007,175.169998,160.292801,164230500,,-0.001254308
2/6/2014,175.580002,177.479996,175.220001,177.479996,162.406616,132877600,,0.013187211
2/7/2014,178.309998,179.869995,177.729996,179.679993,164.419769,170787200,,0.012395757
2/10/2014,179.699997,180.070007,179.210007,180.009995,164.721725,92218800,,0.001836494
2/11/2014,180.160004,182.440002,180.039993,181.979996,166.524414,117814100,,0.010943845
2/12/2014,182.25,182.830002,181.710007,182.070007,166.606812,94717700,,0.00049481
2/13/2014,180.839996,183.199997,180.830002,183.009995,167.466919,100542200,,0.005162496
2/14/2014,182.839996,184.360001,182.669998,184.020004,168.391205,96498400,,0.005519215
2/18/2014,184.179993,184.490005,183.649994,184.240005,168.592468,80460900,,0.001195211
2/19/2014,183.759995,184.949997,182.869995,183.020004,167.476105,126524300,,-0.006621666
2/20/2014,183.270004,184.520004,182.600006,184.100006,168.464386,104998100,,0.005901027
2/21/2014,184.449997,184.889999,183.800003,183.889999,168.272232,118116400,,-0.001140621
2/24/2014,184.279999,186.149994,184.199997,184.910004,169.205582,114063900,,0.005546667
2/25/2014,185.059998,185.589996,184.229996,184.839996,169.14151,117085000,,-0.000378664
2/26/2014,185.110001,185.600006,184.330002,184.850006,169.15065,98677200,,5.40376E-05
2/27/2014,184.580002,185.869995,184.369995,185.820007,170.038315,93880800,,0.005247778
2/28/2014,185.789993,187.149994,185.050003,186.289993,170.468384,150842000,,0.002529248
3/3/2014,184.649994,185.449997,183.75,184.979996,169.269638,167748500,,-0.007032072
3/4/2014,186.789993,187.979996,186.75,187.580002,171.648819,167545900,,0.014055569
3/5/2014,187.740005,188.070007,187.449997,187.75,171.804382,88376900,,0.000906286
