Date,Open,High,Low,Close,Adj Close,Volume
2014-04-28,111.110001,111.279999,110.550003,110.790001,101.715836,7606000
2014-04-29,110.169998,110.730003,110.040001,110.639999,101.578102,5235200
2014-04-30,110.720001,111.260002,110.379997,111.099998,102.000427,7721400
2014-05-01,110.879997,112.080002,110.839996,112.019997,103.094673,11556500
2014-05-02,111.540001,113.099998,111.300003,112.709999,103.729698,12702100
2014-05-05,112.760002,112.809998,111.889999,112.029999,103.103920,8043000
2014-05-06,112.110001,112.699997,112.040001,112.480003,103.518021,6522600
2014-05-07,112.309998,112.570000,111.940002,112.080002,103.149918,8199200
2014-05-08,112.339996,112.760002,111.459999,111.599998,102.708160,10878800
2014-05-09,111.529999,111.809998,110.980003,111.239998,102.376816,6000600
2014-05-12,111.010002,111.129997,110.540001,110.790001,101.962685,4563800
2014-05-13,111.440002,111.750000,111.330002,111.750000,102.846184,5501000
2014-05-14,112.629997,113.230003,112.559998,112.959999,103.959793,8851400
2014-05-15,113.779999,114.410004,113.599998,113.860001,104.788086,12627900
2014-05-16,113.610001,114.000000,113.419998,113.540001,104.493591,5019200
2014-05-19,113.930000,113.959999,112.620003,112.699997,103.720512,7403300
2014-05-20,112.599998,113.480003,112.589996,112.949997,103.950577,6549800
2014-05-21,112.220001,112.400002,111.870003,112.260002,103.315567,8224600
2014-05-22,112.260002,112.400002,111.790001,112.099998,103.168335,6495700
2014-05-23,112.519997,112.910004,112.449997,112.699997,103.720512,3835000
2014-05-27,112.849998,113.400002,112.400002,113.360001,104.327942,6658300
2014-05-28,114.099998,114.839996,114.089996,114.760002,105.616417,10361000
2014-05-29,114.870003,115.190002,114.129997,114.150002,105.055000,10692000
2014-05-30,113.959999,114.400002,113.809998,114.099998,105.008965,6518900
2014-06-02,113.040001,113.680000,112.550003,112.959999,104.228363,11728200
2014-06-03,112.410004,112.540001,111.510002,111.570000,102.945801,12694100
2014-06-04,111.760002,111.820000,111.269997,111.540001,102.918137,7882000
2014-06-05,111.129997,111.970001,111.019997,111.589996,102.964272,6915600
2014-06-06,112.129997,112.410004,111.489998,111.589996,102.964272,7832800
2014-06-09,111.449997,111.639999,111.199997,111.430000,102.816635,5162800
2014-06-10,111.040001,111.269997,110.830002,111.019997,102.438301,5986000
2014-06-11,111.260002,111.540001,110.849998,111.220001,102.622849,5569700
2014-06-12,111.300003,112.349998,111.000000,112.209999,103.536339,9775900
2014-06-13,111.570000,112.620003,111.529999,112.150002,103.480972,5412500
2014-06-16,112.209999,112.629997,112.099998,112.430000,103.739326,5184600
2014-06-17,112.070000,112.089996,111.480003,111.540001,102.918137,6668800
2014-06-18,111.800003,112.760002,111.559998,112.400002,103.711639,11256500
2014-06-19,112.510002,112.559998,110.739998,110.959999,102.382957,14215500
2014-06-20,110.970001,111.800003,110.900002,111.800003,103.158051,7319100
2014-06-23,112.080002,112.180000,111.410004,111.449997,102.835091,5821700
2014-06-24,112.150002,112.650002,111.820000,112.580002,103.877724,9698300
2014-06-25,113.099998,113.360001,112.690002,112.870003,104.145309,5699300
2014-06-26,113.209999,113.800003,113.209999,113.410004,104.643578,6628900
2014-06-27,113.680000,113.820000,113.169998,113.239998,104.486717,7216500
2014-06-30,113.559998,113.800003,113.089996,113.519997,104.745056,5593100
2014-07-01,112.500000,112.739998,112.199997,112.279999,103.868095,8019200
2014-07-02,111.629997,111.669998,110.970001,111.080002,102.758018,9382500
2014-07-03,110.379997,110.860001,110.339996,110.680000,102.387978,6173900
2014-07-07,111.269997,111.809998,111.230003,111.489998,103.137291,5928900
2014-07-08,112.239998,112.860001,112.239998,112.739998,104.293617,6352100
2014-07-09,112.660004,113.139999,112.379997,112.830002,104.376869,6395200
2014-07-10,113.540001,113.660004,112.820000,112.860001,104.404633,7196900
2014-07-11,113.349998,113.680000,113.279999,113.580002,105.070702,4676500
2014-07-14,113.279999,113.410004,112.930000,113.089996,104.617401,4743300
2014-07-15,112.830002,113.470001,112.500000,112.860001,104.404633,7720000
2014-07-16,113.000000,113.580002,112.940002,113.459999,104.959679,4615800
2014-07-17,114.230003,115.050003,113.940002,114.889999,106.282562,10901000
2014-07-18,114.879997,114.959999,114.110001,114.519997,105.940285,6677900
2014-07-21,115.010002,115.629997,115.010002,115.089996,106.467606,5724100
