"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.8287734985352","98.0863494873047","94.5392913818359","95.3181381225586","93.9307022094727","94.6348876953125","97.805061340332","98.6383972167969","98.861442565918","99.0583190917969","95.8915100097656","98.9197463989258","","","","99.2347106933594","","","","",
"Afghanistan","AFG","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","","","","27.0934104919434","","","","","","","","","","","","","","","","","","","28.1712093353271","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","43.3098297119141","40.1814002990723","","","","","","","","","","","","","","","45.0485382080078","","","","","","","","","","74.8936614990234","74.148811340332","75.2818374633789","77.4505767822266","","","","","","","",
"Albania","ALB","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.2820281982422","95.859748840332","94.3269882202148","","92.1188278198242","91.3178787231445","","","","87.1511611938477","85.709587097168","86.273307800293","87.1867904663086","90.4651031494141","94.0052185058594","95.7547225952148","95.1996002197266","95.0630874633789","96.5031433105469","",
"Andorra","AND","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","56.0484809875488","56.093090057373","57.3730087280273","58.4104309082031","59.0692481994629","60.331241607666","61.8381996154785","62.6346092224121","63.2588806152344","64.8177337646484","65.915412902832","66.2920989990234","66.7500534057617","67.4073104858398","68.6306533813477","69.1969833374023","70.1628875732422","71.2973327636719","71.9764175415039","72.0030212402344","72.3863983154297","72.9953536987305","70.4149932861328","70.8119277954102","72.929557800293","72.0265884399414","74.0212478637695","74.4304580688477","74.5144424438477","75.3924865722656","76.184196472168","77.6400299072266","78.8161773681641","79.4753036499023","80.2307205200195","80.6794204711914","81.1745529174805","82.6110000610352","83.5110473632813","83.7649612426758","84.8126525878906","84.3283081054688","84.7921981811523","83.3314437866211","82.7099533081055","83.0947570800781","83.3775329589844","83.6317291259766","",
"United Arab Emirates","ARE","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","78.5034866333008","","74.8839492797852","71.9458618164063","76.8351364135742","72.3385467529297","72.1929626464844","71.8811721801758","72.6618576049805","83.5120391845703","86.8958587646484","91.6360015869141","95.5618515014648","96.1681671142578","92.8031311035156","89.3213806152344","87.3583984375","87.8594818115234","85.0928802490234","81.5934600830078","78.6879272460938","","","","","","","","","86.6215286254883","","","","","87.8411712646484","87.0274887084961","89.8569869995117","93.3894271850586","94.5949020385742","","",
"Argentina","ARG","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","94.9729690551758","","","","96.6127090454102","96.3858184814453","","","","","","","","","","","","94.5415496826172","","","","96.2548370361328","","","","","","100","99.5195083618164","99.2889022827148","99.1193771362305","","","98.9913787841797","98.6387786865234","98.8115615844727","98.80419921875","99.0633087158203","99.0494613647461","99.020263671875","98.6672973632813","98.8448791503906","98.9706192016602","99.0236206054688","99.3467102050781","99.3935928344727","98.994010925293","","",
"Armenia","ARM","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.490478515625","82.6771621704102","","81.0519638061523","83.4494171142578","87.8727111816406","","","","95.1538619995117","96.4269104003906","94.9620132446289","93.6222534179688","92.4729690551758","92.0702514648438","92.0293426513672","",
"American Samoa","ASM","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.3592071533203","84.0967407226563","82.9179077148438","80.3376007080078","79.1308670043945","77.2939529418945","","76.0352020263672","78.57763671875","","79.6351776123047","",
"Australia","AUS","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","96.2091217041016","","94.8293609619141","94.1996383666992","96.9488983154297","97.9751663208008","99.9718017578125","99.9806289672852","99.9785766601563","99.9541091918945","99.8078765869141","98.7067184448242","97.7248687744141","95.916389465332","95.9554977416992","96.6152191162109","97.1484680175781","97.8046417236328","97.9059371948242","97.506721496582","96.9220809936523","96.6921081542969","96.2819976806641","95.9859237670898","94.5646209716797","94.9873428344727","94.5998306274414","94.4043502807617","94.1159515380859","94.1080169677734","93.8962020874023","93.8987884521484","94.5974807739258","94.9944076538086","95.4585800170898","95.6642837524414","96.4393615722656","96.5569000244141","96.6913909912109","96.9897766113281","97.6583709716797","97.5498962402344","97.3978424072266","97.0505905151367","96.992561340332","96.6607208251953","96.6778335571289","",
"Austria","AUT","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","90.9558410644531","90.1653137207031","88.8108062744141","87.9174194335938","87.6254272460938","87.0447387695313","","","","","","","","","","","","","94.2874984741211","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.1714172363281","96.1493835449219","91.3200531005859","83.2649536132813","84.6630172729492","93.5083618164063","90.1269378662109","88.7260131835938","92.1410980224609","88.239616394043","85.3830337524414","84.8256530761719","83.284538269043","84.2122802734375","83.8686218261719","83.1537704467773","83.3748016357422","83.8899688720703","85.1739120483398","84.4464492797852","86.6126098632813","89.1050720214844","93.5072937011719","94.6666030883789","94.1426467895508","94.928581237793","93.7474975585938","",
"Burundi","BDI","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","","","18.7748699188232","","","","","17.4169597625732","","19.1623992919922","21.1596794128418","24.6107292175293","30.9912796020508","35.8757400512695","40.2260589599609","42.6857795715332","47.6875381469727","50.1594886779785","","","","","50.1947708129883","","","","","","","42.1544990539551","51.090259552002","50.4270401000977","53.9363784790039","55.5079498291016","58.7022590637207","75.5383605957031","82.7567367553711","93.2907333374023","91.5376968383789","96.8881683349609","","","","","","","96.6313781738281","",
"Belgium","BEL","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","96.2977905273438","","97.6204299926758","98.1549835205078","97.0402374267578","97.122673034668","93.9815826416016","93.2929382324219","92.8725662231445","94.3041534423828","95.6851272583008","96.8902816772461","","","96.534049987793","95.0939788818359","97.6663665771484","97.0416717529297","97.0782775878906","97.5397033691406","","","98.8958129882813","98.8988723754883","98.9433822631836","98.6787414550781","97.7107086181641","96.1091766357422","95.7455368041992","96.0593414306641","96.9812088012695","97.5633163452148","97.4814605712891","97.2544021606445","97.3806304931641","97.6956405639648","97.7041473388672","97.6438369750977","98.0646820068359","98.2936935424805","","",
"Benin","BEN","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","","","50.1047096252441","50.8399696350098","48.9002799987793","","48.4437599182129","48.9271583557129","39.5060691833496","","49.2129783630371","53.213550567627","54.480411529541","56.8918991088867","59.1184501647949","62.4788589477539","","","","","","83.4164962768555","86.6974487304688","81.9245300292969","84.6689834594727","","90.1356964111328","94.2321014404297","94.9227828979492","94.8090972900391","95.5061492919922","","96.3603668212891","","","97.0336608886719","",
